City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
halmstad,27,SE,1593751672,71,56.67,12.86,60.008,3.1
kamaishi,75,JP,1593751672,51,39.27,141.88,82.4,1.5
voh,98,NC,1593751673,54,-20.97,164.7,72.66200000000006,3.58
conceicao do araguaia,60,BR,1593751673,73,-8.26,-49.26,71.6,1.0
egvekinot,38,RU,1593751673,72,66.32,-179.17,45.06800000000008,2.35
inirida,100,CO,1593751673,97,3.87,-67.92,73.20200000000008,1.01
husavik,90,IS,1593751674,62,66.04,-17.34,35.6,1.5
lethem,100,GY,1593751674,88,3.38,-59.8,74.984,2.89
fortuna,40,US,1593751675,93,40.6,-124.16,55.004000000000055,3.6
nishihara,75,JP,1593751675,70,26.18,127.76,87.8,5.7
imbituba,20,BR,1593751675,66,-28.24,-48.67,53.6,1.0
srivardhan,86,IN,1593751675,78,18.03,73.02,84.48800000000004,4.24
at-bashi,8,KG,1593751676,29,41.17,75.81,67.29800000000003,2.18
loviisa,14,FI,1593751676,96,60.46,26.23,59.0,5.24
sioux lookout,20,CA,1593751676,77,50.1,-91.92,64.4,0.29
aykhal,75,RU,1593751676,58,66.0,111.5,59.0,6.0
broome,1,US,1593751677,53,42.25,-75.83,75.2,3.6
cuiluan,35,CN,1593751677,41,47.72,128.65,86.59400000000008,1.35
emerald,18,AU,1593751677,36,-23.53,148.17,78.99800000000002,2.6
awjilah,0,LY,1593751677,41,29.11,21.29,78.17000000000006,3.25
lorengau,1,PG,1593751678,75,-2.02,147.27,83.96600000000001,4.84
kalang,63,PH,1593751678,62,5.92,121.36,85.424,2.82
francavilla al mare,1,IT,1593751678,94,42.42,14.29,71.99600000000005,1.5
iberia,1,US,1593751679,94,29.95,-91.75,84.2,3.1
vila franca do campo,20,PT,1593751679,87,37.72,-25.43,59.0,1.5
xuanzhou,79,CN,1593751679,81,30.95,118.76,82.34600000000005,4.26
skjervoy,40,NO,1593751680,87,70.03,20.97,46.4,1.5
pisco,90,PE,1593751680,82,-13.7,-76.22,62.6,2.6
havoysund,75,NO,1593751680,75,71.0,24.66,46.4,5.1
praia,75,CV,1593751680,83,14.92,-23.51,77.0,4.1
naze,75,JP,1593751681,94,28.37,129.48,82.4,4.1
maceio,40,BR,1593751571,100,-9.67,-35.74,71.6,2.1
the valley,40,AI,1593751682,78,18.22,-63.06,82.99400000000007,4.1
byron bay,2,AU,1593751298,44,-28.65,153.62,75.99199999999999,3.6
tambacounda,100,SN,1593751682,76,13.75,-13.76,76.892,3.8
tarko-sale,99,RU,1593751682,89,64.92,77.78,64.00400000000005,7.66
honiara,75,SB,1593751649,88,-9.43,159.95,80.6,2.6
karasjok,84,NO,1593751683,71,69.47,25.51,50.0,10.3
mount gambier,40,AU,1593751683,57,-37.83,140.77,51.8,8.2
saint-joseph,40,RE,1593751683,64,-21.37,55.62,69.8,2.1
taoudenni,0,ML,1593751684,11,22.68,-3.98,91.13000000000004,3.73
luderitz,0,NA,1593751684,33,-26.65,15.16,57.2,1.5
namtsy,40,RU,1593751684,59,62.72,129.67,66.2,6.0
tonantins,100,BR,1593751684,96,-2.87,-67.8,72.71600000000001,0.5
aswan,0,EG,1593751685,16,24.09,32.91,88.28600000000007,1.39
bongandanga,10,CD,1593751685,93,1.5,21.05,71.15,0.32
pandan,81,PH,1593751685,72,14.05,124.17,85.69400000000007,2.32
madison,1,US,1593751164,94,34.73,-86.57,75.99199999999999,1.38
deputatskiy,100,RU,1593751686,72,69.3,139.9,45.48200000000001,6.38
majenang,99,ID,1593751686,78,-7.3,108.76,81.96800000000009,2.2
bystrice pod hostynem,100,CZ,1593751686,90,49.4,17.67,62.99600000000005,2.38
panama city,100,PA,1593751501,88,8.99,-79.52,78.8,1.5
fevik,82,NO,1593751687,76,58.38,8.68,53.00600000000003,1.5
carballo,23,ES,1593751687,90,43.21,-8.69,51.008,0.37
ures,19,MX,1593751688,48,29.43,-110.4,87.99800000000002,2.68
weymouth,40,US,1593751688,69,42.22,-70.94,77.0,3.1
san policarpo,99,PH,1593751688,63,12.18,125.51,86.63000000000004,3.45
mayumba,7,GA,1593751688,91,-3.43,10.66,70.71800000000009,1.51
alekseyevka,0,RU,1593751689,65,50.63,38.69,72.842,1.66
magdagachi,73,RU,1593751689,29,53.45,125.8,86.99000000000002,4.51
pozo colorado,0,PY,1593751689,95,-23.49,-58.8,45.82400000000001,2.58
nagato,90,JP,1593751690,94,34.38,131.2,69.8,2.6
inongo,90,CD,1593751690,82,-1.95,18.27,68.81000000000009,0.66
primorsko-akhtarsk,0,RU,1593751690,55,46.05,38.17,78.33200000000002,4.85
ixtapa,90,MX,1593751691,79,20.7,-105.2,84.2,2.6
bilma,50,NE,1593751691,15,18.69,12.92,83.46200000000006,5.65
dapaong,95,TG,1593751691,83,10.86,0.2,76.22600000000008,3.54
pacific grove,1,US,1593751691,82,36.62,-121.92,57.992,3.6
wagar,39,SD,1593751692,53,16.15,36.2,85.11800000000008,8.83
andijon,0,UZ,1593751692,23,40.78,72.34,77.0,3.0
iranshahr,2,IR,1593751692,39,27.2,60.68,96.8,2.24
buraydah,0,SA,1593751692,24,26.33,43.98,91.4,2.1
phalaborwa,0,ZA,1593751693,58,-23.94,31.14,59.0,2.6
marysville,90,US,1593751455,87,48.05,-122.18,57.992,2.1
kaka,0,TM,1593751693,15,37.35,59.61,83.08399999999999,3.02
zyryanka,100,RU,1593751694,88,65.75,150.85,44.13200000000002,5.55
lakefield,1,US,1593751694,83,43.68,-95.17,75.99199999999999,1.5
port keats,26,AU,1593751694,36,-14.25,129.55,89.58200000000002,2.54
matagami,1,CA,1593751694,63,49.75,-77.63,66.2,4.1
mnogovershinnyy,93,RU,1593751695,47,53.94,139.92,74.42600000000009,5.9
biak,89,ID,1593751695,85,-0.91,122.88,76.47800000000007,4.89
dearborn heights,20,US,1593751695,64,42.34,-83.27,75.2,2.6
pacifica,90,US,1593751696,82,37.61,-122.49,57.992,3.6
koslan,0,RU,1593751696,70,63.46,48.9,64.04000000000002,2.26
zonguldak,0,TR,1593751696,63,41.25,31.83,72.66200000000006,0.68
illapel,1,CL,1593751696,69,-31.63,-71.17,52.628000000000064,0.33
gizo,100,SB,1593751697,83,-8.1,156.84,80.65400000000005,9.15
kenora,20,CA,1593751697,54,49.82,-94.43,78.8,3.1
kushmurun,100,KZ,1593751697,66,52.45,64.63,62.438000000000045,4.67
linjiang,26,CN,1593751697,36,41.81,126.91,88.77200000000003,0.9
sibolga,97,ID,1593751698,61,1.74,98.78,87.27800000000006,2.08
abramovka,0,RU,1593751698,68,51.19,41.02,72.51800000000009,1.89
tilichiki,100,RU,1593751698,92,60.47,166.1,45.06800000000008,6.54
marawi,87,PH,1593751699,83,8.0,124.29,82.00400000000005,3.13
paradise valley,1,US,1593751699,36,33.53,-111.94,93.99199999999999,4.92
plettenberg bay,13,ZA,1593751700,80,-34.05,23.37,54.788000000000046,3.19
ketchikan,90,US,1593751700,81,55.34,-131.65,53.6,4.1
nelson bay,1,AU,1593751700,55,-32.72,152.15,64.99400000000007,3.1
rocha,82,UY,1593751700,86,-34.48,-54.33,41.342,3.69
yermakovskoye,44,RU,1593751701,65,53.28,92.4,77.16200000000006,3.24
kapuskasing,75,CA,1593751701,94,49.42,-82.43,68.0,2.6
karasuk,81,RU,1593751701,68,53.74,78.04,70.84400000000008,3.82
fort nelson,90,CA,1593751702,87,58.81,-122.7,57.2,5.7
zorritos,65,PE,1593751702,75,-3.68,-80.68,71.07800000000006,2.46
tukuyu,98,TZ,1593751702,95,-9.25,33.65,54.266000000000005,1.74
erzin,0,TR,1593751702,87,36.96,36.2,80.00600000000003,1.1
saint anthony,1,US,1593751703,65,45.02,-93.22,78.99800000000002,2.05
solhan,1,TR,1593751703,46,38.96,41.03,71.02400000000002,2.82
jilib,100,SO,1593751703,72,0.49,42.79,78.53000000000004,4.58
buriti bravo,0,BR,1593751704,95,-5.84,-43.83,67.80200000000008,0.51
